hyear,csum_mean,csum_sd,csum_se,n
1950,146.4,67.21008852843447,67.21008852843447,6
1951,648.9,65.05382386916237,65.05382386916237,2
1952,729.2166666666667,356.4508685172006,356.4508685172006,6
1954,467.70000000000005,57.41707063234765,57.41707063234765,2
1955,505.15,227.50271866507444,227.50271866507444,6
1956,734.7,382.1961351378186,382.1961351378186,8
1957,548.48,373.35670209599834,373.35670209599834,5
1958,762.2666666666667,449.1295395911221,449.1295395911221,3
1959,717.0142857142857,164.0010002873095,164.0010002873095,7
1960,867.6166666666667,214.13791272604354,214.13791272604354,6
1961,720.4666666666667,431.24954879203455,431.24954879203455,3
1962,850,105.30873657963998,105.30873657963998,3
1963,1100.1833333333334,390.0028482801974,390.0028482801974,6
1964,763.9,198.16351833776062,198.16351833776062,4
1965,444.3,147.43081993486527,147.43081993486527,7
1966,653.6,142.58306351036228,142.58306351036228,5
1967,569.0333333333333,52.394452632570456,52.394452632570456,6
1968,624.1928571428572,129.11899380199475,129.11899380199475,14
1969,1000.05,321.472930431164,321.472930431164,10
1970,1022.2,373.15314550463063,373.15314550463063,3
1971,744.67,228.0883700576502,228.0883700576502,10
1972,624.2846153846153,142.23546701481695,142.23546701481695,13
1973,577.86875,229.4120099115708,229.4120099115708,16
1974,819.025,205.0111355068748,205.0111355068748,12
1975,482.9714285714286,135.37681626095505,135.37681626095505,7
1976,589.075,86.8595916791385,86.8595916791385,16
1977,741.9125,283.41363146468444,283.41363146468444,16
1978,808.4,160.03634309465806,160.03634309465806,10
1979,712.94,230.47128361561354,230.47128361561354,15
1980,605.09,105.91724704797714,105.91724704797714,10
1981,454.49285714285713,53.22140206122568,53.22140206122568,14
1982,520.68,157.60394393179737,157.60394393179737,15
1983,387.4625,103.94767834508538,103.94767834508538,16
1984,717.4875,224.67468593502028,224.67468593502028,16
1985,615.9285714285714,160.4375549789358,160.4375549789358,7
1986,546.36,140.69393732496079,140.69393732496079,15
1987,579.9125,119.4288288758902,119.4288288758902,16
1988,555.7533333333333,129.79719822348503,129.79719822348503,15
1989,521.26,126.33749509415907,126.33749509415907,10
1990,715.3571428571429,375.014680152218,375.014680152218,14
1991,454.45714285714286,125.89961027791894,125.89961027791894,14
1992,464.42307692307696,114.08650339286527,114.08650339286527,13
1993,378.2055555555556,104.97650982186008,104.97650982186008,18
1994,361.08947368421053,63.05856091969716,63.05856091969716,19
1995,237.5,48.67284543103003,48.67284543103003,18
1996,909.5631578947368,226.18125035399356,226.18125035399356,19
1997,877.2444444444444,338.8380078378982,338.8380078378982,18
1998,712.4166666666666,124.70347981827884,124.70347981827884,12
1999,240.62,69.12637702064241,69.12637702064241,15
2000,554.3,102.52252017414098,102.52252017414098,15
2001,576.84,113.75300812349035,113.75300812349035,15
2002,575.8125,83.83267362232142,83.83267362232142,16
2003,546.7466666666667,146.34040974320635,146.34040974320635,15
2004,675.0363636363636,71.1369843713841,71.1369843713841,11
2005,185.1,94.4182891887654,94.4182891887654,13
2006,417.3071428571429,80.5656394050668,80.5656394050668,14
2007,386.8,85.15016147958852,85.15016147958852,13
2008,383.75555555555553,105.60066419193478,105.60066419193478,9
2009,404.05833333333334,196.2840773347434,196.2840773347434,12
2010,786.1583333333333,306.209006038013,306.209006038013,12
2011,620.9666666666667,158.73035311496034,158.73035311496034,9
2012,211.77692307692308,92.57273855232394,92.57273855232394,13
2013,633.2,240.21466094585762,240.21466094585762,7
2014,361.8666666666667,166.49015736673442,166.49015736673442,9
2015,352.4625,73.53547127552991,73.53547127552991,8
2016,317.3833333333333,67.50287154385853,67.50287154385853,6
2017,367.3142857142857,113.0297959031368,113.0297959031368,7
